Local Development	1	Development-Demo	Form			Page		No		../docs/Local_Development.html
Monolith	2	Development-Demo	Form			Page		No	Smoke Tests, Manual Tests	../docs/Monolith.html
Code Review	5	Development-Deterministic	Form			Page		No	Pre Merge Hooks	../docs/Code_Review.html
Pre Merge Hooks	7	Development-Reactive	Form			Page		No		../docs/Pre_Merge_Hooks.html
Active Passive Clusters	8	Development-Reactive	Form			Page		No	Active Active Multi Cluster	../docs/Active_Passive_Clusters.html
Microservices	9	Development-Reactive	Form			Page		No		../docs/Microservices.html
Leftshift Reliability Design	10	Development-Proactive	Form			Page		No		../docs/
Graceful Service Degradation (Individual CUJs)	11	Development-Proactive	Form			Page		No		../docs/
Left Shift Performance Testing	12	Development-Proactive	Form			Page		No		../docs/
Graceful Service Degradation (Universal)	13	Development-Autonomic	Form			Page		No	Serious Design/Domain Driven Design	../docs/
Bounded Context	14	Development-Autonomic	Form			Page		No	Protobufs	../docs/
Protobufs	15	Development-Autonomic	Form			Page		No		../docs/
						Page		No		../docs/
Smoke Tests	3	Development-Demo	Form			Page		No	Automated Unit Testing, Functional Tests, Manual Integration Tests	../docs/
Automated Unit Testing	4	Development-Deterministic	Form			Page		No		../docs/
Multi Service Development	5	Development-Deterministic	Form			Page		No	Distributed Systems Awareness	../docs/
Distributed Systems Awareness	7	Development-Reactive	Form			Page		No		../docs/Distributed_Systems_Awareness.html
Deployments in Place	8	Development-Reactive	Form			Page		No		../docs/
Feature Flags	9	Development-Reactive	Form			Page		No		../docs/
Active Active Multi Cluster	11	Development-Proactive	Form			Page		No		../docs/
Basic Chaos Testing	12	Development-Proactive	Form			Page		No		../docs/
Serious Design/Domain Driven Design	13	Development-Autonomic	Form			Page		No		../docs/
Design Around Universal Failure Domains	14	Development-Autonomic	Form			Page		No	Design for Chaos	../docs/
Sharded Data	15	Development-Autonomic	Form			Page		No		../docs/
						Page		No		../docs/
Manual Tests	3	Development-Demo	Form			Page		No	Manual Integration Tests	../docs/
Code Version Control	4	Development-Deterministic	Form			Page		No		../docs/
functional tests	5	Development-Deterministic	Form			Page		No		../docs/
semi automated integration	6	Development-Deterministic	Form			Page		No		../docs/
Data versioning	7	Development-Reactive	Form			Page		No		../docs/
traffic shifting	8	Development-Reactive	Form			Page		No		../docs/
instrumentation for in process traces	9	Development-Reactive	Form			Page		No		../docs/
Backwards Version Compatibility by default	10	Development-Proactive	Form			Page		No		../docs/
Canary Deployments	11	Development-Proactive	Form			Page		No		../docs/
Left Shift QA testing (SDET)	11	Development-Proactive	Form			Page		No		../docs/
E2E testing	12	Development-Proactive	Form			Page		No		../docs/
Multi Cluster Rollout Policy	13	Development-Autonomic	Form			Page		No		../docs/
Universal Smart Retries	14	Development-Autonomic	Form			Page		No		../docs/
Sharded Serving	15	Development-Autonomic	Form			Page		No		../docs/
						Page		No		../docs/
manual integration tests	5	Development-Deterministic	Form			Page		No		../docs/
regular release cadence	6	Development-Deterministic	Form			Page		No		../docs/
Containers	9	Development-Reactive	Form			Page		No	Container Orchestrator	../docs/
Blue Green Deployments	10	Development-Proactive	Form			Page		No		../docs/
Fuzz Testing	11	Development-Proactive	Form			Page		No		../docs/
Distributed systems (no active/passive)	12	Development-Proactive	Form			Page		No		../docs/
Automatic assured capacity and performance testing	13	Development-Autonomic	Form			Page		No		../docs/
andon cord/big red button	14	Development-Autonomic	Form			Page		No		../docs/
Code Quality Threshold (code reuse preferred)	15	Development-Autonomic	Form			Page		No		../docs/
						Page		No		../docs/
Low Context Architecture, Design, Coding, Operations	13	Development-Autonomic	Form			Page		No		../docs/
Language Readability	14	Development-Autonomic	Form			Page		No		../docs/
Only customize components needing customization	15	Development-Autonomic	Form			Page		No		../docs/
						Page		No		../docs/
Design for Chaos	15	Development-Autonomic	Form			Page		No		../docs/
Formal methods (e.g. TLA+)	15	Development-Autonomic	Form			Page		No		../docs/
						Page		No		../docs/
						Page		No		../docs/
Local data storage	1	Infrastructure-Demo	VM			Page		No		../docs/
Single Zone	3	Infrastructure-Demo	VM			Page		No		../docs/
DNS / SImple LB	4	Infrastructure-Deterministic	VM			Page		No	real loadbalancing	../docs/
Basic linear capacity projection	6	Infrastructure-Deterministic	VM			Page		No		../docs/
Advanced Loadbalancing	7	Infrastructure-Reactive	VM			Page		No		../docs/
IaC	8	Infrastructure-Reactive	VM			Page		No	Cattle Infrastructure	../docs/
Understand Infrastructure Failure Domains	9	Infrastructure-Reactive	VM			Page		No		../docs/
Auto Failover	10	Infrastructure-Proactive	VM			Page		No		../docs/
Failure Testing in Prod	11	Infrastructure-Proactive	VM			Page		No		../docs/
N+1 as standard	12	Infrastructure-Proactive	VM			Page		No		../docs/
N+2 Thinking	13	Infrastructure-Autonomic	VM			Page		No		../docs/
N+2 Global Planning	15	Infrastructure-Autonomic	VM			Page		No		../docs/
						Page		No		../docs/
Pet Host	1	Infrastructure-Demo	VM			Page		No	>1 computer	../docs/
>1 computer	4	Infrastructure-Deterministic	VM			Page		No		../docs/
distributed storage	5	Infrastructure-Deterministic	VM			Page		No	alternate site replication	../docs/
alternate site replication	7	Infrastructure-Reactive	VM			Page		No		../docs/
Cattle Infrastructure	8	Infrastructure-Reactive	VM			Page		No		../docs/
Container Orchestrator	9	Infrastructure-Reactive	VM			Page		No	Container Orchestrator	../docs/
Auto Scaling	10	Infrastructure-Proactive	VM			Page		No		../docs/
Eliminate SPOFs (hardware & software)	11	Infrastructure-Proactive	VM			Page		No		../docs/
Service Discovery	12	Infrastructure-Proactive	VM			Page		No		../docs/
Drain/Spill (N/S & E/W)	14	Infrastructure-Autonomic	VM			Page		No		../docs/
								No		../docs/
Basic Loadtesting	7	Infrastructure-Reactive	VM			Page		No		../docs/
Multi Zone	8	Infrastructure-Reactive	VM			Page		No		../docs/
Holt-Winter capacity projections	9	Infrastructure-Reactive	VM			Page		No		../docs/
Failure Injection	10	Infrastructure-Proactive	VM			Page		No		../docs/
N+1 Regional Planning	11	Infrastructure-Proactive	VM			Page		No		../docs/
L7 Global LB	12	Infrastructure-Proactive	VM			Page		No		../docs/
						Page		No		../docs/
High Water Mark Prediction	8	Infrastructure-Reactive	VM			Page		No		../docs/
Immutable Infrastructure	9	Infrastructure-Reactive	VM			Page		No		../docs/
Assured Capacity Load Testing	10	Infrastructure-Proactive	VM			Page		No		../docs/
Real World Traffic Load Testing	11	Infrastructure-Proactive	VM			Page		No		../docs/
L4 Regional Load Balancing	12	Infrastructure-Proactive	VM			Page		No		../docs/
			VM			Page		No		../docs/
Multi Region	12	Infrastructure-Proactive	VM			Page		No		../docs/
						Page		No		../docs/
Off-host backup	1	Operations-Demo	Dashboard			Page		No		../docs/
RPO/RTO defined	2	Operations-Demo	Dashboard			Page		No		../docs/
DR Plan	3	Operations-Demo	Dashboard			Page		No		../docs/
RPO/RTO refined	4	Operations-Deterministic	Dashboard			Page		No		../docs/
DR plan simulated/tabletop	5	Operations-Deterministic	Dashboard			Page		No		../docs/
DR plan tested periodically	6	Operations-Deterministic	Dashboard			Page		No		../docs/
Continuous Integration	7	Operations-Reactive	Dashboard			Page		No		../docs/
Continuous Delivery	8	Operations-Reactive	Dashboard			Page		No		../docs/
Regular BCP Testing (run from alternate site)	9	Operations-Reactive	Dashboard			Page		No		../docs/
% Based Traffic Steering	10	Operations-Proactive	Dashboard			Page		No		../docs/
Active Active Datastores	11	Operations-Proactive	Dashboard			Page		No		../docs/
Internal Rate Limiting	12	Operations-Proactive	Dashboard			Page		No		../docs/
Autonomous Response Systems	14	Operations-Autonomic	Dashboard			Page		No		../docs/
